nSeq;I1;I2;O1;O2;A5;A6
14;0;0;0;0;629;57
15;0;0;0;0;629;57
0;0;0;0;0;624;57
1;0;0;0;0;628;57
2;0;0;0;0;628;58
3;0;0;0;0;621;58
4;0;0;0;0;620;58
5;0;0;0;0;624;58
6;0;0;0;0;628;58
7;0;0;0;0;625;57
8;0;0;0;0;614;58
9;0;0;0;0;612;58
10;0;0;0;0;622;58
11;0;0;0;0;625;58
12;0;0;0;0;625;59
13;0;0;0;0;625;59
14;0;0;0;0;625;59
15;0;0;0;0;620;59
0;0;0;0;0;616;59
1;0;0;0;0;623;58
2;0;0;0;0;629;59
3;0;0;0;0;620;59
4;0;0;0;0;615;59
5;0;0;0;0;622;59
6;0;0;0;0;630;59
7;0;0;0;0;623;59
8;0;0;0;0;611;59
9;0;0;0;0;615;59
10;0;0;0;0;620;59
11;0;0;0;0;616;59
12;0;0;0;0;608;59
13;0;0;0;0;611;59
14;0;0;0;0;622;59
15;0;0;0;0;622;59
0;0;0;0;0;620;59
1;0;0;0;0;625;59
2;0;0;0;0;632;59
3;0;0;0;0;628;59
4;0;0;0;0;622;59
5;0;0;0;0;625;58
6;0;0;0;0;621;59
7;0;0;0;0;610;58
8;0;0;0;0;609;58
9;0;0;0;0;615;58
10;0;0;0;0;636;58
11;0;0;0;0;632;58
12;0;0;0;0;611;58
13;0;0;0;0;615;58
14;0;0;0;0;603;58
15;0;0;0;0;618;58
0;0;0;0;0;613;58
1;0;0;0;0;625;59
2;0;0;0;0;636;60
3;0;0;0;0;620;59
4;0;0;0;0;632;59
5;0;0;0;0;624;59
6;0;0;0;0;626;59
7;0;0;0;0;625;58
8;0;0;0;0;617;59
9;0;0;0;0;626;58
10;0;0;0;0;624;58
11;0;0;0;0;616;58
12;0;0;0;0;611;58
13;0;0;0;0;617;57
14;0;0;0;0;628;58
15;0;0;0;0;627;58
0;0;0;0;0;620;57
1;0;0;0;0;618;57
2;0;0;0;0;614;57
3;0;0;0;0;604;57
4;0;0;0;0;602;57
5;0;0;0;0;611;57
6;0;0;0;0;620;57
7;0;0;0;0;620;57
8;0;0;0;0;617;57
9;0;0;0;0;621;57
10;0;0;0;0;626;57
11;0;0;0;0;620;57
12;0;0;0;0;612;56
13;0;0;0;0;610;56
14;0;0;0;0;611;56
15;0;0;0;0;606;55
0;0;0;0;0;614;55
1;0;0;0;0;607;55
2;0;0;0;0;623;56
3;0;0;0;0;603;56
4;0;0;0;0;615;56
5;0;0;0;0;631;56
6;0;0;0;0;631;57
7;0;0;0;0;624;56
8;0;0;0;0;613;57
9;0;0;0;0;608;57
10;0;0;0;0;618;57
11;0;0;0;0;618;57
12;0;0;0;0;611;57
13;0;0;0;0;616;57
14;0;0;0;0;626;57
15;0;0;0;0;626;57
0;0;0;0;0;624;58
1;0;0;0;0;622;57
2;0;0;0;0;621;58
3;0;0;0;0;619;58
4;0;0;0;0;619;58
5;0;0;0;0;625;58
6;0;0;0;0;626;58
7;0;0;0;0;620;58
8;0;0;0;0;615;58
9;0;0;0;0;619;58
10;0;0;0;0;625;58
11;0;0;0;0;627;58
12;0;0;0;0;623;58
13;0;0;0;0;622;58
14;0;0;0;0;620;58
15;0;0;0;0;620;58
0;0;0;0;0;620;58
1;0;0;0;0;623;58
2;0;0;0;0;619;59
3;0;0;0;0;611;58
4;0;0;0;0;614;59
5;0;0;0;0;626;59
6;0;0;0;0;622;60
7;0;0;0;0;610;60
8;0;0;0;0;609;60
9;0;0;0;0;617;60
10;0;0;0;0;628;61
11;0;0;0;0;631;61
12;0;0;0;0;628;61
13;0;0;0;0;638;60
14;0;0;0;0;633;60
15;0;0;0;0;616;60
0;0;0;0;0;601;60
1;0;0;0;0;599;59
2;0;0;0;0;609;60
3;0;0;0;0;620;60
4;0;0;0;0;626;60
5;0;0;0;0;631;60
6;0;0;0;0;626;60
7;0;0;0;0;616;60
8;0;0;0;0;611;60
9;0;0;0;0;616;60
10;0;0;0;0;616;59
11;0;0;0;0;613;60
12;0;0;0;0;612;60
13;0;0;0;0;622;59
14;0;0;0;0;629;59
15;0;0;0;0;621;58
0;0;0;0;0;578;58
1;0;0;0;0;626;58
2;0;0;0;0;583;58
3;0;0;0;0;600;58
4;0;0;0;0;620;59
5;0;0;0;0;639;59
6;0;0;0;0;649;60
7;0;0;0;0;634;59
8;0;0;0;0;617;60
9;0;0;0;0;611;60
10;0;0;0;0;615;60
11;0;0;0;0;620;60
12;0;0;0;0;624;61
13;0;0;0;0;628;61
14;0;0;0;0;629;61
15;0;0;0;0;626;61
0;0;0;0;0;621;61
1;0;0;0;0;619;61
2;0;0;0;0;618;61
3;0;0;0;0;620;61
4;0;0;0;0;618;61
5;0;0;0;0;621;61
6;0;0;0;0;625;61
7;0;0;0;0;623;61
8;0;0;0;0;622;61
9;0;0;0;0;626;61
10;0;0;0;0;629;62
11;0;0;0;0;622;62
12;0;0;0;0;616;62
13;0;0;0;0;619;61
14;0;0;0;0;621;62
15;0;0;0;0;619;61
0;0;0;0;0;619;62
1;0;0;0;0;626;62
2;0;0;0;0;631;62
3;0;0;0;0;625;62
4;0;0;0;0;619;62
5;0;0;0;0;621;62
6;0;0;0;0;625;62
7;0;0;0;0;622;61
8;0;0;0;0;611;62
9;0;0;0;0;611;61
10;0;0;0;0;619;62
11;0;0;0;0;627;62
12;0;0;0;0;625;62
13;0;0;0;0;623;61
14;0;0;0;0;622;62
15;0;0;0;0;618;61
0;0;0;0;0;617;62
1;0;0;0;0;619;61
2;0;0;0;0;623;62
3;0;0;0;0;621;61
4;0;0;0;0;616;62
5;0;0;0;0;622;61
6;0;0;0;0;627;62
7;0;0;0;0;618;61
8;0;0;0;0;612;62
9;0;0;0;0;615;61
10;0;0;0;0;618;61
11;0;0;0;0;615;61
12;0;0;0;0;612;62
13;0;0;0;0;617;62
14;0;0;0;0;623;62
15;0;0;0;0;617;62
0;0;0;0;0;610;62
1;0;0;0;0;610;62
2;0;0;0;0;611;63
3;0;0;0;0;609;62
4;0;0;0;0;612;63
5;0;0;0;0;622;63
6;0;0;0;0;626;63
7;0;0;0;0;623;64
8;0;0;0;0;618;64
9;0;0;0;0;620;64
10;0;0;0;0;628;64
11;0;0;0;0;631;64
12;0;0;0;0;613;65
13;0;0;0;0;602;65
14;0;0;0;0;628;65
15;0;0;0;0;607;65
0;0;0;0;0;618;66
1;0;0;0;0;631;66
2;0;0;0;0;639;66
3;0;0;0;0;643;66
4;0;0;0;0;636;66
5;0;0;0;0;635;66
6;0;0;0;0;639;66
7;0;0;0;0;630;66
8;0;0;0;0;623;66
9;0;0;0;0;624;65
10;0;0;0;0;626;65
11;0;0;0;0;626;65
12;0;0;0;0;629;65
13;0;0;0;0;632;65
14;0;0;0;0;637;65
15;0;0;0;0;626;64
0;0;0;0;0;617;63
1;0;0;0;0;616;63
2;0;0;0;0;616;63
3;0;0;0;0;616;62
4;0;0;0;0;590;62
5;0;0;0;0;615;62
6;0;0;0;0;613;63
7;0;0;0;0;631;63
8;0;0;0;0;611;63
9;0;0;0;0;621;63
10;0;0;0;0;634;63
11;0;0;0;0;627;64
12;0;0;0;0;614;64
13;0;0;0;0;615;64
14;0;0;0;0;624;64
15;0;0;0;0;619;64
0;0;0;0;0;614;65
1;0;0;0;0;620;65
2;0;0;0;0;627;65
3;0;0;0;0;628;65
4;0;0;0;0;621;65
5;0;0;0;0;625;65
6;0;0;0;0;631;65
7;0;0;0;0;626;65
8;0;0;0;0;616;66
9;0;0;0;0;620;65
10;0;0;0;0;633;66
11;0;0;0;0;637;67
12;0;0;0;0;630;67
13;0;0;0;0;631;66
14;0;0;0;0;627;66
15;0;0;0;0;620;66
0;0;0;0;0;626;66
1;0;0;0;0;632;65
2;0;0;0;0;636;66
3;0;0;0;0;617;65
4;0;0;0;0;609;66
5;0;0;0;0;617;65
6;0;0;0;0;624;66
7;0;0;0;0;627;65
8;0;0;0;0;626;66
9;0;0;0;0;634;66
10;0;0;0;0;640;66
